Id,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SaleType,SaleCondition
1,181500,20,4,80,9600,4,3,25,2,1,3,6,8,1976,2,9,3,0,4,5,2,3,2,1,978,284,1,2,5,1262,0,0,1,2,0,3,4,6,1,5,2,1976,2,460,3,298,0,5,2007,9,5
2,223500,60,4,68,11250,1,5,6,3,1,6,7,5,2002,2,13,2,162,3,5,3,3,3,3,486,434,1,2,5,920,866,1,0,2,1,3,3,6,1,5,2,2001,2,608,3,0,42,9,2008,9,5
3,140000,70,4,60,9550,1,1,7,3,1,6,7,5,1970,2,14,3,0,4,5,1,4,4,1,216,540,3,2,5,961,756,1,0,1,0,3,3,7,1,3,6,1998,3,642,3,0,35,2,2006,9,1
4,250000,60,4,84,14260,1,3,14,3,1,6,8,5,2000,2,13,2,350,3,5,3,3,1,3,655,490,1,2,5,1145,1053,1,0,2,1,4,3,9,1,5,2,2000,2,836,3,192,84,12,2008,9,5
5,307000,20,4,75,10084,4,5,21,3,1,3,8,5,2005,2,13,4,186,3,5,3,1,1,3,1369,317,1,2,5,1694,0,1,0,2,0,3,3,7,1,3,2,2004,2,636,3,255,57,8,2007,9,5
6,129900,50,5,51,6120,4,5,18,1,1,1,7,5,1950,2,4,3,0,4,5,1,4,4,6,0,952,3,2,2,1022,752,0,0,2,0,2,4,8,2,5,6,1931,3,468,3,90,0,4,2008,9,1
7,118000,190,4,50,7420,4,1,4,1,2,2,5,6,1950,2,9,3,0,4,5,1,4,4,3,851,140,1,2,5,1077,0,1,0,1,0,2,4,5,2,5,2,1939,2,205,3,0,4,1,2008,9,5
8,345000,60,4,85,11924,1,5,16,3,1,6,9,5,2006,4,15,4,286,1,5,3,1,4,3,998,177,1,2,5,1182,1142,1,0,3,0,4,1,11,2,3,4,2005,1,736,3,147,21,7,2006,7,6
9,279500,20,4,91,10652,1,5,6,3,1,3,7,5,2007,2,13,4,306,3,5,3,3,1,6,0,1494,1,2,5,1494,0,0,0,2,0,3,3,7,1,3,2,2006,2,840,3,160,33,8,2007,7,6
10,325300,60,4,101,14215,1,1,16,3,1,6,8,5,2006,2,13,2,380,3,5,3,1,1,6,0,1158,1,2,5,1158,1218,0,0,3,1,4,3,9,1,3,4,2005,2,853,3,240,154,11,2006,7,6
11,139400,45,5,57,7449,4,5,10,3,1,2,7,7,1950,2,14,3,0,4,5,3,4,4,6,0,637,1,2,2,1108,0,0,0,1,0,3,3,6,1,3,2,1930,3,280,1,0,0,6,2007,9,5
12,230000,20,4,75,9742,4,5,6,3,1,3,8,5,2002,4,13,2,281,3,5,3,3,4,6,0,1777,1,2,5,1795,0,0,0,2,0,3,3,7,1,3,2,2002,2,534,3,171,159,9,2008,9,5
13,129900,120,5,44,4224,4,5,11,3,5,3,5,7,1976,2,6,3,0,4,5,3,3,4,3,840,200,5,2,5,1060,0,1,0,1,0,3,4,6,1,5,2,1976,3,572,3,100,110,6,2007,9,5
14,256300,20,4,110,14230,4,1,16,3,1,3,8,5,2007,2,13,4,640,3,5,3,3,4,6,0,1566,1,2,5,1600,0,0,0,2,0,3,3,7,1,3,2,2007,2,890,3,0,56,7,2009,9,5
15,306000,20,4,98,11478,4,5,16,3,1,3,8,5,2008,2,13,4,200,3,5,3,1,4,3,1218,486,1,2,5,1704,0,1,0,2,0,3,3,7,1,3,2,2008,2,772,3,0,50,5,2010,9,5
16,207500,20,4,47,16321,1,2,13,3,1,3,5,6,1997,2,9,3,0,4,5,2,4,2,2,1277,207,5,2,5,1600,0,1,0,1,0,2,4,6,2,3,2,1957,2,319,3,288,258,12,2006,9,5
17,165500,20,4,70,10552,1,5,13,3,1,3,5,5,1959,4,4,3,0,4,5,2,4,4,5,1018,380,3,2,5,1700,0,0,1,1,1,4,3,6,1,3,2,1959,2,447,3,0,38,4,2010,9,5
18,277500,120,4,60,7313,4,5,16,3,5,3,9,5,2005,4,9,2,246,1,5,3,1,4,3,1153,408,1,2,5,1561,0,1,0,2,0,2,1,6,1,3,2,2005,1,556,3,203,47,8,2007,9,5
19,309000,60,4,108,13418,4,5,16,3,1,6,8,5,2005,2,13,4,132,3,5,3,1,1,6,0,1117,1,2,5,1132,1320,0,0,3,1,4,3,9,1,3,4,2004,1,691,3,113,32,9,2006,9,5
